DocId 	Estimado 	Real 
18	coffee		coffee
52	coffee		money-fx
68	money-fx	money-fx
111	trade		trade
118	coffee		coffee
121	coffee		trade
142	grain		grain
152	grain		grain
170	crude		crude
192	crude		crude
208	grain		grain
219	coffee		grain
226	coffee		grain
235	money-fx	money-fx
260	coffee		trade
273	money-fx	money-fx
322	grain		grain
343	grain		grain
354	trade		trade
365	trade		trade
424	coffee		grain
444	coffee		coffee
445	grain		grain
463	crude		crude
477	grain		grain
479	coffee		coffee
482	coffee		grain
496	money-fx	money-fx
498	coffee		crude
506	trade		trade
519	crude		crude
